23	23	100.0%	95.7%	100.0%	100.0%	100.0%	100.0%	100.0%	4.3%	95.7%	95.7%	95.7%	100.0%	100.0%	78.3%	0.0%	0.0%	95.7%	0.0%	0.0%	4.3%	0.0%	0.0%	0.0%	0.0%	0.0%
Field Name	Error Code	English	Japanese	French	German	Dutch	Spanish(NTSC)	Spanish(EU)	Finnish	Italian	Korean	Russian	Turkish	Czech	Portuguese	Arabic	Chinese (Simplified)	Chinese (Traditional)	Norwegian	Hindi						
WWFCMsgUnknownLoginError	22000	An unknown error has occurred + while logging in to SDK Pack Online. + + Error Code: %[1]d	SDK Pack Onlineへの ログイン中に + 不明なエラー が発生しました + + エラーコード： %[1]d	Une erreur inconnue s'est produite + pendant la connexion à SDK Pack Online. + + Code Erreur:  %[1]d	Ein unbekannter Fehler ist beim + Verbinden mit SDK Pack Online aufgetreten. + + Fehlercode: %[1]d	Er is een onbekende fout opgetreden + tijdens het verbinden met SDK Pack Online. + + Foutcode: %[1]d	Un error desconocido ha ocurrido + al conectarse a SDK Pack Online. + + Código de error: %[1]d	Un error desconocido ha ocurrido + al conectarse a SDK Pack Online. + + Código de error: %[1]d	Tapahtui Tuntematon virhe + kirjautuessa sisään SDK Pack Online:hen. + + Virhekoodi: %[1]d	È stato riscontrato un errore sconosciuto + durante l'accesso alla SDK Pack Online. + + Codice Errore: %[1]d	SDK Pack Online에 연결 도중 + 알 수 없는 오류가 발생했습니다. + + 에러 코드: %[1]d	Во время входа в SDK Pack Online + произошла ошибка. + + Код ошибки: %[1]d	Retro Rewind'a giriş yaparken + bilinmeyen bir hata oluştu. + + Hata Kodu: %[1]d	Při přihlašování k SDK Pack Online + došlo k neznámé chybě. + + Kód Chyby: %[1]d	Ocorreu um erro desconhecido + ao conectar-se com o SDK Pack Online. + + Código de Erro: %[1]d			載入SDK Pack Online 時發生錯誤 + + 錯誤代碼：%[1]d			a					
WWFCMsgDolphinSetupRequired	22001	You are using a leaked NAND which is already banned. + Please revert your NAND to the Dolphin Default. + Ticket on discord.gg/retrorewind for help. + + Error Code: %[1]d + Support Info: NG%08[2]x		Vous utilisez une NAND publique qui a déjà été bannie. + Veuillez retirer votre NAND de Dolphin. + Un ticket peut être fait sur discord.gg/retrorewind si besoin. + + Code Erreur:  %[1]d + Information Support: NG%08[2]x	Du benutzt eine geleakte NAND, die gebannt wurde. + Bitte wechsle zurück auf die Standard Dolphin NAND. + Ticket über discord.gg/retrorewind für Hilfe erstellen. + + Fehlercode: %[1]d + Support-Info: NG%08[2]x	Je gebruikt een publieke NAND die al verbannen is. + Gebruik de standaard Dolphin-NAND. + Maak een ticket op discord.gg/retrorewind voor hulp. + + Foutcode: %[1]d + Ondersteuningsinformatie: NG%08[2]x	Estás usando una NAND filtrada que ya está baneada. + Por favor usa la NAND predeterminada por Dolphin. + Ticket en discord.gg/retrorewind para recibir ayuda. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x	Estás usando una NAND filtrada que ya está baneada. + Por favor usa la NAND predeterminada por Dolphin. + Ticket en discord.gg/retrorewind para recibir ayuda. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x					Kullandığınız NAND (sistem dosyaları) sızdırılmış. + Lütfen NAND'inizi Dolphin varsayılanına geri çevirin. + Yardım için discord.gg/retrorewind'dan destek alabilirsiniz. + + Hata Kodu: %[1]d + Destek Bilgisi: NG%08[2]x	Používáš uniklý NAND, který je už zakázán. +
 Vrať prosím tvůj NAND do výchozího nastavení Dolphin. +
 Vstupenka na discord.gg/retrorewind pro pomoc. +
 +
 Kód Chyby: %[1]d +
 Informace o Podpoře: NG%08[2]x												
WWFCMsgProfileBannedTOS	22002	You are banned from SDK Pack Online + due to a violation of the + Terms of Service. + + Error Code: %[1]d + Support Info: NG%08[2]x	利用きやくに いはんしたため + SDK Pack Onlineから BANされました + + エラーコード： %[1]d + サポート情報： NG%08[2]x	Vous avez été banni(e) de SDK Pack Online + à cause d'une violation des + Conditions de Service. + + Code Erreur:  %[1]d + Information Support: NG%08[2]x	Du wurdest von SDK Pack Online + wegen eines Verstoßes der + Terms of Service gebannt. + + Fehlercode: %[1]d + Support-Info: NG%08[2]x	Je bent verbannen van SDK Pack Online + vanwege een overtreding van de + gebruiksvoorwaarden. + + Foutcode: %[1]d + Ondersteuningsinformatie: NG%08[2]x	Te han baneado de SDK Pack Online + debido a una violación de los + Terminos de Servicio. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x	Estás baneado de SDK Pack Online + debido a una violación de los + Terminos de Servicio. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x		Sei stato bannato dalla SDK Pack Online + a causa di una violazione dei + Termini di Servizio. + + Codice Errore: %[1]d + Supporto Informativo: NG%08[2]x	이용약관 위반으로 + SDK Pack Online 계정이 + 정지됐습니다. + + 에러 코드: %[1]d + 지원 정보: NG%08[2]x	Вам запрещено играть в Retro + WFC из-за нарушения условий + использования сервиса. + + Код ошибки: %[1]d + Информация для поддержки: NG%08[2]x	Hizmet Şartlarını ihlal ettiğinizden + dolayı SDK Pack Online'ye erişiminiz + yasaklanmıştır. + + Hata Kodu: %[1]d + Destek Bilgisi: NG%08[2]x	Máš zákaz SDK Pack Online + z důvodu porušení + Podmínek Služby. + + Kód Chyby: %[1]d + Informace o Podpoře: NG%08[2]x	Foste banido do SDK Pack Online + devido a uma violação dos + Termos e Condições + + Código de Erro: %[1]d + Informação de Suporte: NG%08[2]x			由於違反服務條款 + 你禁止使用 SDK Pack Online + + 錯誤代碼：%[1]d + 支援資訊：NG%08[2]x								
WWFCMsgProfileBannedTOSNow	22002	You are banned from SDK Pack Online + due to a violation of the + Terms of Service. + + Error Code: %[1]d + Support Info: NG%08[2]x	利用きやくに いはんしたため + SDK Pack Onlineから BANされています + + エラーコード： %[1]d + サポート情報： NG%08[2]x	Vous avez été banni(e) de SDK Pack Online + à cause d'une violation des + Conditions de Service. + + Code Erreur:  %[1]d + Information Support: NG%08[2]x	Du wurdest von SDK Pack Online + wegen eines Verstoßes der + Terms of Service gebannt. + + Fehlercode: %[1]d + Support-Info: NG%08[2]x	Je bent verbannen van SDK Pack Online + vanwege een overtreding van de + gebruiksvoorwaarden. + + Foutcode: %[1]d + Ondersteuningsinformatie: NG%08[2]x	Te han baneado de SDK Pack Online + debido a una violación de los + Terminos de Servicio. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x	Estás baneado de SDK Pack Online + debido a una violación de los + Terminos de Servicio. + + Código de Error: %[1]d + Información de soporte: NG%08[2]x		Sei stato bannato dalla + SDK Pack Online a causa di una violazione + dei Termini di Servizio. + + Codice Errore: %[1]d + Supporto Informativo: NG%08[2]x	이용약관 위반으로 + SDK Pack Online 계정이 + 정지됐습니다. + + 에러 코드: %[1]d + 지원 정보: NG%08[2]x	Отныне вам запрещено играть + в SDK Pack Online из-за нарушения + условий использования сервиса. + + Код ошибки: %[1]d + Информация для поддержки: NG%08[2]x	Hizmet Şartlarını ihlal ettiğinizden + dolayı SDK Pack Online'ye erişiminiz + yasaklanmıştır. + + Hata Kodu: %[1]d + Destek Bilgisi: NG%08[2]x	Máš zákaz SDK Pack Online + z důvodu porušení + Podmínek Služby. + + Kód Chyby: %[1]d + Informace o Podpoře: NG%08[2]x	Foste banido do SDK Pack Online + devido a uma violação dos + Termos e Condições + + Código de Erro: %[1]d + Informação de Suporte: NG%08[2]x			由於違反服務條款 + 你禁止使用 SDK Pack Online + + 錯誤代碼：%[1]d + 支援資訊：NG%08[2]x								
